Info    : Reading '../results/t10/domain.msh'...
Info    : 9 entities
Info    : 72857 nodes
Info    : 145712 elements
Info    : [  0%] Reading elements                                                                                Info    : [ 10%] Reading elements                                                                                Info    : [ 20%] Reading elements                                                                                Info    : [ 30%] Reading elements                                                                                Info    : [ 40%] Reading elements                                                                                Info    : [ 50%] Reading elements                                                                                Info    : [ 60%] Reading elements                                                                                Info    : [ 70%] Reading elements                                                                                Info    : [ 80%] Reading elements                                                                                Info    : [ 90%] Reading elements                                                                                                                                                                Info    : Done reading '../results/t10/domain.msh'

	Heat conduction 2 - Data Parallelism

> Path = ../results/t10
> Nbr of triangles = 144712
> Iterations:
i =   0 | cost = 0.1025 | cstr = 1.3405 | nder = 0.2571 | steps =  0 | lagr = 0.1025 | lm = 0.0000 | mu = 0.0000
i = 124 | cost = 0.0999 | cstr = 0.9986 | nder = 0.0882 | steps = 15 | lagr = 0.0996 | lm = 0.2576 | mu = 0.2602
i = 125 | cost = 0.0991 | cstr = 0.9985 | nder = 0.0855 | steps = 15 | lagr = 0.0987 | lm = 0.2560 | mu = 0.2591
i = 126 | cost = 0.0996 | cstr = 0.9983 | nder = 0.0968 | steps = 16 | lagr = 0.0992 | lm = 0.2544 | mu = 0.2577
i = 127 | cost = 0.0995 | cstr = 0.9987 | nder = 0.0925 | steps = 16 | lagr = 0.0991 | lm = 0.2537 | mu = 0.2562
i = 128 | cost = 0.0979 | cstr = 0.9987 | nder = 0.0842 | steps = 16 | lagr = 0.0976 | lm = 0.2526 | mu = 0.2551
i = 129 | cost = 0.0980 | cstr = 0.9990 | nder = 0.0874 | steps = 16 | lagr = 0.0977 | lm = 0.2521 | mu = 0.2540
i = 130 | cost = 0.0984 | cstr = 0.9989 | nder = 0.0928 | steps = 16 | lagr = 0.0982 | lm = 0.2509 | mu = 0.2532
i = 131 | cost = 0.0979 | cstr = 0.9990 | nder = 0.0948 | steps = 15 | lagr = 0.0977 | lm = 0.2502 | mu = 0.2522
i = 132 | cost = 0.0978 | cstr = 0.9990 | nder = 0.0866 | steps = 16 | lagr = 0.0976 | lm = 0.2493 | mu = 0.2513
i = 133 | cost = 0.0981 | cstr = 0.9988 | nder = 0.0940 | steps = 16 | lagr = 0.0978 | lm = 0.2481 | mu = 0.2504
i = 134 | cost = 0.0974 | cstr = 0.9990 | nder = 0.0879 | steps = 15 | lagr = 0.0971 | lm = 0.2474 | mu = 0.2494
i = 135 | cost = 0.0964 | cstr = 0.9992 | nder = 0.0865 | steps = 16 | lagr = 0.0962 | lm = 0.2470 | mu = 0.2485
i = 136 | cost = 0.0961 | cstr = 0.9992 | nder = 0.0823 | steps = 16 | lagr = 0.0959 | lm = 0.2462 | mu = 0.2479
i = 137 | cost = 0.0965 | cstr = 0.9986 | nder = 0.0841 | steps = 15 | lagr = 0.0961 | lm = 0.2443 | mu = 0.2471
i = 138 | cost = 0.0960 | cstr = 0.9984 | nder = 0.0826 | steps = 16 | lagr = 0.0956 | lm = 0.2428 | mu = 0.2459
i = 139 | cost = 0.0960 | cstr = 0.9984 | nder = 0.0860 | steps = 16 | lagr = 0.0956 | lm = 0.2414 | mu = 0.2445
i = 140 | cost = 0.0955 | cstr = 0.9988 | nder = 0.0846 | steps = 16 | lagr = 0.0952 | lm = 0.2408 | mu = 0.2432
i = 141 | cost = 0.0951 | cstr = 0.9985 | nder = 0.0800 | steps = 16 | lagr = 0.0948 | lm = 0.2392 | mu = 0.2421
i = 142 | cost = 0.0954 | cstr = 0.9988 | nder = 0.0879 | steps = 16 | lagr = 0.0951 | lm = 0.2385 | mu = 0.2409
i = 143 | cost = 0.0961 | cstr = 0.9988 | nder = 0.0907 | steps = 16 | lagr = 0.0958 | lm = 0.2374 | mu = 0.2398
i = 144 | cost = 0.0950 | cstr = 0.9993 | nder = 0.0854 | steps = 16 | lagr = 0.0949 | lm = 0.2373 | mu = 0.2388
i = 145 | cost = 0.0944 | cstr = 0.9990 | nder = 0.0826 | steps = 15 | lagr = 0.0942 | lm = 0.2362 | mu = 0.2381
